ID,ACCOUNT_TYPE,LIMIT_BAL,GENDER,AGE,MARITAL_STATUS,EDUCATION,JOB_TYPE,HOUSING,LOAN,default payment in Jan 2022
X000078,Current account,299918,Female,44,Married,Middle school,Administration,yes,no,0
X000079,Current account,29028,Female,20,Married,Middle school,,yes,no,1
X000080,Salary account,240767,Female,43,Married,unknown,Unemployed,no,yes,1
X000081,Current account,469439,Female,35,Married,College degree,House help,yes,no,0
X000082,Salary account,360950,Female,24,Married,Vocational degree,Technician,unknown,yes,0
X000083,Salary account,59330,Male,28,Married,unknown,Unemployed,no,yes,1
X000084,Salary account,400032,Female,46,Married,Vocational degree,Technician,yes,yes,0
X000085,Salary account,49774,Female,48,Single,Vocational degree,Services,no,no,0
X000086,Salary account,159042,Male,35,Divorced,Vocational degree,Services,no,no,0
X000087,Current account,360395,Female,46,Married,Primary school,Part-time,no,no,0
X000088,Current account,159158,Female,34,Married,High school,Part-time,yes,no,0
X000089,Current account,130923,Female,34,Married,Middle school,Administration,no,no,0
X000090,Salary account,19191,Male,46,Married,Vocational degree,Services,yes,no,0
X000091,Salary account,200832,Male,51,Married,High school,Technician,yes,yes,0
X000092,Salary account,279046,Female,37,Married,Vocational degree,Technician,yes,yes,0
X000093,Salary account,100976,Female,29,Married,unknown,unknown,no,yes,0
X000094,Salary account,159544,Female,35,Married,Vocational degree,Services,no,no,0
X000095,Current account,59189,Female,25,Married,College degree,Management,no,no,0
X000096,Current account,89810,Male,33,Married,High school,Business owner,yes,no,0
X000097,Savings account,360941,Male,43,Married,College degree,Management,no,no,0
X000098,Current account,149405,Male,29,Divorced,High school,Part-time,no,no,0
X000099,Salary account,49818,Female,21,Single,Vocational degree,Student,no,no,0
X000100,Salary account,19394,Male,37,Married,Secondary school,Retired,no,no,1
X000101,Current account,140978,Male,30,Married,High school,Part-time,yes,no,0
X000102,Current account,380954,Female,30,Married,Primary school,Administration,no,no,0
X000103,Current account,480351,Male,62,Married,High school,Part-time,no,no,0
X000104,Salary account,50664,Female,23,Divorced,College degree,Technician,no,yes,1
X000105,Current account,59224,Female,27,Divorced,Middle school,Administration,no,no,0
X000106,Current account,69656,Female,26,Single,Secondary school,Administration,no,no,0
X000107,Current account,80361,Female,37,Married,Secondary school,Administration,yes,no,0
X000108,Current account,349043,Male,50,Married,Secondary school,Part-time,yes,no,0
X000109,Current account,129132,Male,38,Married,College degree,Management,yes,no,0
X000110,Current account,359385,Male,36,Married,High school,Part-time,yes,no,0
X000111,Salary account,329829,Female,29,Divorced,Vocational degree,Technician,no,no,0
X000112,,49750,Male,45,Married,Primary school,Administration,no,no,0
X000113,Current account,279994,Male,39,Divorced,Secondary school,Administration,yes,no,0
X000114,Current account,99838,Female,22,Married,High school,Part-time,yes,no,0
X000115,Salary account,49214,Male,41,Married,College degree,Entreprenuer,no,no,0
X000116,Current account,29703,Male,24,Married,Secondary school,House help,no,no,1
X000117,Salary account,239926,Male,29,Divorced,Vocational degree,Technician,no,no,0
X000118,Savings account,79885,Male,28,Divorced,Primary school,Part-time,yes,no,1
X000119,Salary account,399383,Male,33,Married,Vocational degree,Technician,yes,yes,0
X000120,Current account,240813,Female,38,Divorced,High school,Business owner,yes,no,0
X000121,Current account,49709,Male,37,Married,Middle school,Part-time,yes,no,0
X000122,Salary account,449388,Male,38,Divorced,Secondary school,House help,no,no,1
X000123,Current account,110236,Female,47,Married,High school,Business owner,no,no,0
X000124,Salary account,310787,Female,33,Married,unknown,Unemployed,yes,yes,0
X000125,Salary account,19007,Male,28,Married,Vocational degree,Services,yes,no,0
X000126,Salary account,19915,Male,25,Married,Vocational degree,Services,no,no,0
X000127,Current account,200942,Male,53,Married,High school,Part-time,no,no,0
X000128,Current account,180866,Male,36,Divorced,Secondary school,Business owner,yes,no,0
X000129,Salary account,49246,Male,51,Married,Secondary school,Management,yes,no,1
X000130,Salary account,59570,Male,54,Married,Vocational degree,Technician,yes,yes,0
X000131,Current account,29319,Female,25,,Secondary school,Administration,yes,no,0
X000132,Savings account,239851,Male,41,Married,College degree,Management,no,no,0
X000133,Current account,420622,Male,35,Married,Middle school,Administration,yes,no,0
X000134,Current account,329210,Male,46,Married,Primary school,Administration,yes,no,0
X000135,Current account,30537,Female,20,Married,Secondary school,Administration,no,no,0
X000136,Current account,240382,Male,34,Divorced,High school,Business owner,no,no,0
X000137,Current account,149631,Male,27,Married,Primary school,Administration,no,no,0
X000138,Salary account,210958,Female,34,Married,Vocational degree,Services,no,no,0
X000139,Salary account,49949,Female,51,Married,High school,Services,yes,unknown,0
X000140,Salary account,49402,Male,26,Married,Vocational degree,Services,yes,no,0
X000141,Savings account,239999,Male,46,Single,Primary school,Administration,yes,no,0
X000142,Salary account,179685,Male,27,Married,Vocational degree,Technician,yes,no,0
X000143,Current account,49161,Male,24,Married,High school,Part-time,yes,no,0
X000144,Salary account,169409,Male,29,Married,Vocational degree,Technician,yes,yes,0
X000145,Current account,20211,Male,27,Divorced,Middle school,Administration,yes,no,0
X000146,Salary account,49045,Male,27,Married,Vocational degree,Services,yes,no,0
X000147,Savings account,169236,Female,28,Married,Primary school,Administration,no,no,0
X000148,Salary account,200532,Male,33,Single,Vocational degree,Services,yes,no,0
X000149,Salary account,79313,Female,22,Married,Vocational degree,Technician,yes,yes,0
X000150,Current account,259225,259225,58,Married,High school,Business owner,yes,no,0
X000151,Current account,140370,Male,33,Married,Primary school,Administration,no,no,0
X000152,Current account,79462,Male,25,Married,Secondary school,Part-time,yes,no,0
X000153,Salary account,350485,Male,43,Divorced,Vocational degree,Technician,yes,no,0
X000154,Salary account,279563,Female,56,Married,unknown,unemployed,no,yes,0
X000155,Current account,29702,Female,28,Married,High school,Part-time,yes,no,0
X000156,Current account,140002,Male,32,Married,College degree,Management,yes,no,0
X000157,Salary account,199106,Female,37,Married,Vocational degree,Technician,yes,unknown,0
X000158,Current account,199925,Female,29,Married,High school,House help,no,no,0
X000159,Current account,209651,Male,45,Single,Middle school,Part-time,yes,no,1
X000160,Salary account,49306,Male,56,Married,Vocational degree,Technician,no,no,0
X000161,Current account,30697,Male,39,Single,College degree,Management,yes,no,0
X000162,Current account,50214,Male,27,Single,Primary school,Administration,yes,no,0
X000163,Salary account,289808,Male,48,Married,unknown,unemployed,no,yes,0
X000164,Current account,250885,Female,35,Married,High school,Part-time,no,no,0
X000165,Salary account,59565,Female,44,Divorced,Vocational degree,Services,no,no,0
X000166,Current account,110290,Female,25,Married,College degree,Management,no,no,0
X000167,Current account,369260,Male,51,Married,High school,Part-time,yes,no,0
X000168,Current account,100907,Male,26,Divorced,Primary school,Administration,no,no,0
X000169,Current account,90648,Female,34,Married,High school,Part-time,no,no,0
X000170,Current account,49416,Female,20,Divorced,Primary school,Administration,yes,no,0
X000171,Current account,270354,Male,39,Married,Primary school,Administration,no,no,0
X000172,Salary account,299979,Female,30,Married,Vocational degree,Services,no,no,0
X000173,Current account,50263,Female,20,Married,High school,Part-time,yes,no,0
X000174,Salary account,50076,Female,23,Single,Vocational degree,Technician,no,yes,0
X000175,Salary account,360616,Male,29,Married,Vocational degree,Technician,no,unknown,0
X000176,Salary account,130365,Male,58,Married,Vocational degree,Technician,no,yes,0
X000177,Current account,79151,Male,28,Married,Secondary school,Administration,yes,no,0
X000178,Current account,50159,Male,32,Single,Secondary school,Administration,no,no,0
X000179,Current account,19125,Female,20,Married,Middle school,Administration,yes,no,0
X000180,Salary account,79640,Female,27,Married,Vocational degree,Technician,no,unknown,0
X000181,Salary account,239199,Male,39,Married,Vocational degree,Services,no,no,0
X000182,Salary account,80650,Female,34,Married,Vocational degree,Student,yes,no,0
X000183,Salary account,499897,Female,47,Married,Vocational degree,Entreprenuer,yes,no,0
X000184,Salary account,60091,Female,24,Married,High school,Technician,yes,yes,0
X000185,Salary account,19585,Male,24,Married,Vocational degree,Technician,no,no,0
X000186,Salary account,100581,Female,40,Married,Vocational degree,Technician,no,yes,0
X000187,Current account,359688,Female,32,Married,Primary school,Administration,no,no,0
X000188,Savings account,200251,Female,45,Married,Primary school,Part-time,no,no,1
X000189,Current account,130631,Female,36,Married,Secondary school,Administration,no,no,0
X000190,Current account,20649,Female,30,Married,College degree,Management,yes,no,0
X000191,Current account,309969,Male,34,Married,High school,Business owner,no,no,0
X000192,Salary account,59394,Female,26,Single,High school,Technician,yes,yes,1
X000193,,179659,Female,27,Divorced,College degree,Retired,no,no,0
X000194,Salary account,179318,Female,25,Married,Vocational degree,Technician,no,yes,0
X000195,Salary account,49010,Male,37,Single,Vocational degree,Services,yes,no,0
X000196,Current account,49447,Female,26,Married,Middle school,Business owner,yes,no,0
X000197,Current account,150574,Female,36,Married,Primary school,Administration,yes,no,0
X000198,Current account,20136,Female,24,Single,Secondary school,Administration,no,no,0
X000199,Salary account,500173,Female,35,Married,Vocational degree,Services,yes,no,0
X000200,Salary account,30056,Female,23,Married,Vocational degree,Technician,yes,yes,0
X000201,Salary account,180497,Female,38,Married,Vocational degree,Technician,no,yes,0
X000202,Salary account,140526,Male,29,Single,Vocational degree,Services,no,no,0
X000203,Current account,140889,Female,27,Married,Primary school,Administration,yes,no,0
X000204,Salary account,120167,Male,24,Married,Vocational degree,Services,no,no,0
X000205,Current account,359377,Female,46,Married,High school,Part-time,yes,no,0
X000206,Salary account,19661,Male,42,Single,Vocational degree,Technician,no,no,0
X000207,Salary account,100842,Male,49,Single,Vocational degree,Technician,yes,unknown,0
X000208,Salary account,210183,Female,41,Married,High school,Student,no,yes,1
X000209,Current account,80449,Female,23,Single,Secondary school,Business owner,no,no,0
X000210,Current account,330735,Female,51,Single,Middle school,Administration,yes,no,0
X000211,Current account,219085,Male,25,Single,Primary school,Administration,yes,no,0
X000212,Current account,210279,Female,36,Divorced,Primary school,Part-time,no,no,1
X000213,Current account,40551,Female,42,Married,Secondary school,Administration,no,no,0
X000214,Current account,30803,Male,38,Married,Secondary school,Part-time,no,no,0
X000215,Salary account,470423,Male,25,Married,Vocational degree,Technician,yes,yes,0
X000216,Current account,30986,Male,40,Married,High school,Part-time,yes,no,0
X000217,Savings account,240537,Female,38,Single,Primary school,Part-time,yes,no,1
X000218,Current account,80068,Male,34,Single,Secondary school,Administration,yes,no,0
X000219,Current account,109916,Female,31,Married,High school,Part-time,no,no,0
X000220,Current account,309792,Female,39,Married,Secondary school,Administration,no,no,0
X000221,Current account,360552,Female,38,Married,Middle school,Part-time,yes,no,0
X000222,Salary account,330560,Female,44,Married,Vocational degree,Technician,no,yes,0
X000223,Savings account,300582,Female,34,Single,College degree,Retired,yes,no,0
X000224,Current account,319679,Female,34,Married,Secondary school,Part-time,yes,no,0
X000225,Salary account,49335,Female,37,Married,unknown,Unemployed,no,yes,1
X000226,Current account,169583,Female,30,Married,Secondary school,Administration,no,no,0
X000227,Current account,350492,Male,43,Married,High school,Part-time,no,no,0
X000228,Current account,19035,Male,35,Single,Secondary school,Administration,no,no,1
X000229,Salary account,49772,Male,24,Married,unknown,Unemployed,no,yes,1
,Salary account,20360,Female,26,Married,Vocational degree,Services,yes,no,0
X000231,Current account,49809,Female,24,Married,High school,Part-time,yes,no,0
X000232,Savings account,19685,Male,23,Divorced,Primary school,Part-time,yes,no,1
X000233,Salary account,49683,Male,25,Divorced,Vocational degree,Technician,yes,yes,0
X000234,Current account,189228,Male,33,Married,Middle school,Business owner,no,no,1
X000235,Savings account,60338,Female,33,Married,College degree,Retired,no,no,0
X000236,Current account,80614,Male,33,Married,Secondary school,Administration,yes,no,0
X000237,Salary account,149754,Female,29,Married,Vocational degree,Technician,no,yes,0
X000238,Salary account,209591,Female,32,Married,Vocational degree,Services,no,no,0
X000239,Salary account,240150,Female,51,Married,Secondary school,Management,no,no,0
X000240,Current account,140622,Female,39,Married,Middle school,Business owner,no,no,1
X000241,Current account,59525,Female,28,Married,Secondary school,Part-time,no,no,0
X000242,Salary account,49195,Male,40,Single,Vocational degree,Services,no,no,0
X000243,Current account,49135,Female,29,Married,Primary school,Administration,yes,no,0
X000244,Salary account,180053,Female,34,Single,unknown,unemployed,no,yes,0
X000245,Current account,30102,Female,38,Married,College degree,Management,no,no,0
X000246,Salary account,19960,Female,41,Divorced,Vocational degree,Services,no,no,0
X000247,Current account,250711,Female,75,Single,Middle school,Administration,no,no,0
X000248,Current account,100675,Female,26,Single,College degree,House help,yes,no,0
X000249,Salary account,329100,Male,26,Single,unknown,unknown,no,yes,0
X000250,Current account,50318,Male,48,Single,High school,Part-time,no,no,0
X000251,Salary account,49261,Female,26,Divorced,unknown,unknown,no,yes,0
X000252,Savings account,29517,Male,30,Married,College degree,Entreprenuer,yes,no,0
X000253,Current account,140777,Female,25,Married,Middle school,Part-time,yes,no,1
X000254,Current account,160577,Female,29,Married,Primary school,Administration,yes,no,0
X000255,Current account,400806,Female,27,Married,Primary school,Administration,no,no,0
X000256,Current account,49447,Male,25,Married,Primary school,Administration,yes,no,0
X000257,Current account,140284,Female,46,Married,Secondary school,Part-time,yes,no,0
X000258,Current account,160709,Female,31,Married,High school,Part-time,no,no,0
X000259,Salary account,99916,Female,44,Married,Vocational degree,Technician,yes,no,0
X000260,Salary account,219367,Male,50,Married,High school,Services,no,no,1
X000261,Salary account,510041,Female,31,Married,Vocational degree,Technician,no,no,0
X000262,Current account,49064,Male,29,Single,Secondary school,Administration,unknown,no,0
X000263,Salary account,159786,Female,40,Married,Vocational degree,Technician,no,yes,0
X000264,Current account,229541,Female,38,Divorced,High school,Part-time,no,no,0
X000265,Current account,80469,Female,35,Married,High school,Part-time,no,no,0
X000266,Current account,149139,Female,23,Single,Secondary school,Part-time,no,no,0
X000267,Current account,9055,Male,24,Single,Primary school,Administration,yes,no,0
X000268,Savings account,129782,Female,51,Single,Primary school,Administration,no,no,0
X000269,Current account,40812,Female,50,Divorced,Primary school,Administration,no,no,0
X000270,Salary account,49447,Male,25,Married,High school,Services,no,unknown,0
X000271,Salary account,100801,Male,32,Married,Vocational degree,Technician,yes,yes,0
X000272,Current account,120582,Male,35,Divorced,High school,Part-time,no,no,0
X000273,Salary account,260105,Female,56,Married,High school,Services,no,no,0
X000274,Current account,200307,Female,31,Single,Middle school,Administration,no,no,0
X000275,Salary account,360418,Female,29,Single,Secondary school,Retired,yes,no,0
X000276,Salary account,69589,Female,38,Married,Vocational degree,Technician,no,no,0
X000277,Salary account,459575,Male,41,Married,unknown,Unemployed,no,yes,1
X000278,Current account,50541,Female,24,Married,Middle school,Administration,no,no,0
X000279,Current account,50140,Male,35,Single,High school,Part-time,no,no,0
X000280,Current account,249349,Female,29,Married,Primary school,Administration,no,no,0
X000281,Current account,30494,Female,25,Married,Primary school,Administration,no,no,0
X000282,Current account,270112,Male,42,Married,Secondary school,Administration,yes,no,0
X000283,Salary account,180566,Female,30,Married,Vocational degree,Services,no,no,0
X000284,Current account,100057,Female,26,Married,Primary school,Administration,yes,no,0
X000285,Salary account,229942,Female,31,Divorced,Vocational degree,Technician,yes,no,0
X000286,Current account,209422,Female,46,Divorced,High school,Part-time,no,no,0
X000287,Current account,210770,Male,40,Married,Secondary school,Part-time,yes,no,0
X000288,Salary account,439126,Female,48,Single,Vocational degree,Technician,yes,no,0
X000289,Current account,99792,Female,25,Married,Middle school,Business owner,yes,no,0
X000290,Current account,240668,Female,44,Married,High school,Business owner,no,no,0
X000291,Salary account,279092,Male,33,Divorced,High school,Services,yes,no,0
X000292,Salary account,50161,Female,23,Married,Secondary school,House help,yes,no,1
X000293,Current account,30407,Male,42,Divorced,High school,Part-time,no,no,0
X000294,Current account,9406,Male,27,Married,Middle school,Business owner,yes,no,1
X000295,Salary account,129924,Male,29,Single,Vocational degree,Services,yes,no,0
X000296,Current account,199280,Male,32,Married,Middle school,Administration,no,no,0
X000297,Current account,119894,Female,30,Divorced,Primary school,Administration,no,no,0
X000298,Current account,210715,Female,34,Married,College degree,Management,yes,no,0
X000299,Current account,279134,Female,35,Divorced,Secondary school,Administration,no,no,0
X000300,Current account,299086,Male,35,Married,Middle school,Part-time,no,no,0
X000301,Salary account,100898,Male,39,Single,unknown,Technician,no,yes,0
X000302,Salary account,440256,Female,37,Divorced,Vocational degree,Services,no,no,0
X000303,Salary account,49359,Female,38,Married,Vocational degree,Technician,no,unknown,0
X000304,Salary account,19091,Female,26,Married,High school,Technician,yes,yes,1
X000305,Current account,200907,Female,26,Married,College degree,Management,yes,no,0
X000306,Current account,109003,Female,25,Married,High school,Part-time,yes,no,0
X000307,Current account,499354,Female,34,Married,Primary school,Administration,no,no,0
X000308,Current account,300395,Female,26,Divorced,High school,Part-time,yes,no,0
X000309,Salary account,30456,Male,56,Married,High school,Entreprenuer,yes,no,0
X000310,Current account,59115,Female,29,Married,Secondary school,Administration,yes,no,0
X000311,Current account,399374,Female,37,Divorced,High school,,yes,no,0
X000312,Current account,180900,Female,32,Single,Primary school,Administration,no,no,0
X000313,Current account,19481,Male,41,Married,High school,Part-time,no,no,0
X000314,Salary account,200582,Female,49,Married,Secondary school,Retired,yes,no,1
X000315,Current account,99311,Male,26,Married,Primary school,Administration,yes,no,0
X000316,Savings account,59818,Male,22,Single,Primary school,Administration,no,no,1
X000317,Salary account,110824,Female,34,Divorced,Vocational degree,Technician,no,no,0
X000318,Current account,259937,Female,54,Married,Middle school,Administration,no,no,0
X000319,Current account,50266,Female,47,Married,Secondary school,Part-time,no,no,0
X000320,Current account,180602,Male,30,Married,Primary school,Administration,yes,no,0
X000321,Salary account,109532,Male,30,Single,Secondary school,Retired,yes,no,1
X000322,Salary account,340989,Female,29,Single,Vocational degree,Technician,yes,no,0
X000323,Current account,49251,Male,22,Single,High school,Part-time,no,no,0
X000324,Current account,229625,Female,29,Married,Secondary school,House help,no,no,1
X000325,Current account,360201,Female,30,Married,High school,Part-time,yes,no,0
X000326,Current account,210626,Male,42,Single,Middle school,Administration,no,no,0
X000327,Salary account,220807,Female,39,Single,Secondary school,Management,yes,no,0
X000328,Current account,59402,Female,32,Married,Primary school,Part-time,no,no,1
X000329,Salary account,339778,Male,57,Married,Vocational degree,Technician,no,yes,0
X000330,Salary account,149461,Male,38,Married,Vocational degree,Services,no,no,0
X000331,Salary account,199420,Female,38,Single,College degree,Technician,yes,yes,0
X000332,Savings account,130099,Female,38,Married,Primary school,Administration,yes,no,0
X000333,Current account,60091,Female,27,Married,High school,Part-time,yes,no,0
X000334,Salary account,400669,Female,42,Single,Vocational degree,Services,no,no,0
X000335,Salary account,20523,Male,26,Married,unknown,unemployed,yes,yes,0
X000336,Current account,189768,Female,29,Married,High school,Part-time,yes,no,0
X000337,Salary account,260728,Female,30,Single,Vocational degree,Technician,yes,no,0
X000338,Current account,139865,Female,32,Single,Secondary school,Administration,yes,no,0
X000339,Current account,49642,Female,29,Married,Primary school,Part-time,yes,no,1
X000340,Salary account,119897,Female,33,Married,Vocational degree,Services,no,no,0
X000341,Current account,240079,Female,31,Married,High school,Part-time,yes,no,0
X000342,Current account,50672,Male,37,Single,Secondary school,Administration,yes,no,0
X000343,Current account,200729,Female,27,Married,High school,Business owner,no,no,0
X000344,Salary account,179508,Male,40,Married,Vocational degree,Services,yes,no,0
X000345,Current account,179413,Female,25,Divorced,Secondary school,Administration,yes,no,0
X000346,Current account,159361,Female,28,,High school,Part-time,yes,no,0
X000347,Current account,100966,Female,27,Divorced,Primary school,Administration,no,no,0
X000348,Current account,49460,Female,31,Single,Middle school,Business owner,yes,no,1
X000349,Current account,140268,Female,32,Married,High school,Part-time,yes,no,0
X000350,Savings account,29218,Female,25,Married,Primary school,Administration,no,no,1
X000351,Current account,90324,Male,25,Married,Secondary school,Administration,no,no,0
X000352,Current account,200045,Male,34,Married,College degree,Management,no,no,0
X000353,Savings account,380317,Male,31,Married,Primary school,Part-time,no,no,1
X000354,Current account,79766,Female,43,Married,High school,Part-time,yes,no,0
X000355,Current account,49219,Male,56,Married,College degree,Management,yes,no,0
X000356,Savings account,180156,Male,47,Single,Primary school,Administration,no,no,0
X000357,Salary account,239303,Female,24,Single,unknown,unknown,no,yes,0
X000358,Salary account,379328,Male,32,Married,Vocational degree,Services,no,no,0
X000359,Savings account,109278,Female,24,Married,College degree,Management,no,no,0
X000360,Current account,259321,Male,36,Married,Secondary school,Administration,yes,no,0
X000361,Current account,500289,Female,23,Divorced,Secondary school,House help,no,no,1
X000362,Current account,320465,Female,28,Married,Primary school,Administration,yes,no,0
X000363,Current account,49480,Male,34,Married,High school,Part-time,yes,no,0
X000364,Salary account,109625,Male,40,Married,Vocational degree,Technician,yes,yes,0
X000365,Salary account,229186,Female,33,Married,Vocational degree,Services,yes,no,0
X000366,Current account,330881,Female,55,Married,Secondary school,Part-time,no,no,0
X000367,Current account,50451,Female,61,Married,High school,Part-time,yes,no,0
X000368,Salary account,9562,Male,23,Divorced,Vocational degree,Services,no,no,0
X000369,Current account,299131,Male,41,Married,High school,Part-time,yes,no,0
X000370,Current account,19256,Female,32,Divorced,Secondary school,House help,no,no,1
X000371,Salary account,180267,Male,36,Married,unknown,Technician,no,yes,0
X000372,Salary account,160524,Male,32,Married,unknown,unemployed,no,yes,0
X000373,Current account,90962,Female,33,Single,Secondary school,Part-time,yes,no,0
X000374,Current account,29223,Male,56,Single,High school,Part-time,yes,no,0
X000375,Salary account,180205,Male,47,Married,unknown,unknown,no,yes,0
X000376,Salary account,29586,Male,58,Married,Vocational degree,Services,no,no,0
X000377,Current account,30393,Male,41,Married,Secondary school,Part-time,yes,no,0
X000378,Current account,139974,Female,29,Single,Secondary school,Administration,no,no,0
X000379,Salary account,209194,Male,29,Married,Vocational degree,Technician,no,yes,0
X000380,Current account,49978,Male,33,Married,Secondary school,House help,yes,no,1
X000381,Current account,130129,Female,31,Single,High school,Part-time,no,no,0
X000382,Current account,49957,Female,36,Married,Primary school,Part-time,yes,no,0
X000383,Salary account,140914,Male,36,Single,Vocational degree,Technician,no,unknown,0
X000384,Current account,169127,Female,27,Single,Secondary school,House help,no,no,0
X000385,Current account,80484,Male,26,Married,College degree,House help,yes,no,0
X000386,Salary account,410447,Female,43,Married,Vocational degree,Technician,unknown,yes,0
X000387,Savings account,79748,Female,27,Married,College degree,Management,no,no,0
X000388,Salary account,80045,Male,75,Married,High school,Services,yes,no,1
