ID,1M_BA,2M_BA,3M_BA,4M_BA,5M_BA,6M_BA,default payment in Jan 2022
X000084,131662,139100,126785,104506,104954,94083,0
X000085,48983,47839,21468,20345,19406,19521,0
X000086,130124,107771,72022,118347,118451,120503,0
X000087,362,1205,732,305,319,407,0
X000088,3754,4766,6584,8590,7032,722,0
X000089,81254,117853,17738,1351,7164,1109,0
X000090,8602,8219,9565,10501,12327,11877,0
X000091,138099,140792,142553,144017,147040,149619,0
X000092,7582,0,4010,3943,0,0,0
X000093,-2098,5517,0,0,0,0,0
X000094,906,1643,847,812,0,0,0
X000095,45615,46873,47267,19599,19229,19396,0
X000096,83750,86023,87591,35486,30964,30739,0
X000097,3901,8309,3364,6368,26379,10054,0
X000098,85962,86013,89065,89758,87739,40823,0
X000099,18646,18207,16985,13113,8943,7938,0
X000100,18058,19436,19529,18169,17889,113,1
X000101,711,10273,839,460,99,1371,0
X000102,-48,-338,32506,32880,33521,33993,0
X000103,422082,431289,479352,487149,471092,469885,0
X000104,44648,42336,38419,32486,23555,24069,1
X000105,56607,55118,59153,60226,55406,55365,0
X000106,5636,0,0,0,0,26532,0
X000107,6102,2931,3182,3327,1202,1112,0
X000108,696,2205,630,898,1110,5205,0
X000109,171438,178330,39930,120408,44141,126633,0
X000110,-169,-114,-42,-111,-89,-76,0
X000111,105900,108348,105562,105814,106509,107333,0
X000113,135762,138549,134772,144305,152150,149477,0
X000114,52211,52676,54397,56073,60153,59728,0
X000115,19060,19333,20331,20373,20339,20035,0
X000116,18278,17595,18650,21297,20664,3306.24,1
X000117,288,374,247,5669,471,304,0
X000118,13963,15564,16556,16965,17612,18266,1
X000119,19631,9628,11796,7854,14823,7962,0
X000120,50242,51421,52981,52499,1403,1269,0
X000121,45970,46048,48940,48906,49274,51152,0
X000122,0,0,0,0,0,0,1
X000123,0,0,0,0,0,0,0
X000124,304910,311169,306225,258581,246449,108437.56,0
X000125,19136,18985,19318,19415,19742,15682,0
X000126,0,0,0,0,0,0,0
X000127,110183,99461,98965,100985,103106,105064,0
X000128,163772,116450,99353,95697,97842,95920,0
X000129,3327,3816,4600,5426,6375,7089,1
X000130,60500,61534,57259,28771,29412,26566,0
X000132,158,2675,3243,3264,283,1813,0
X000133,253514,247703,229017,221014,210659,188110,0
X000134,227438,228778,229663,227651,227834,228187,0
X000135,28395,26158,26681,25403,17617,-753,0
X000136,10772,12050,13648,13204,14081,13849,0
X000137,17465,19423,21971,24710,27142,30142,0
X000138,7171,7932,8880,9156,4365,5654,0
X000139,800,228,5905,0,0,0,0
X000140,50726,50121,49632,19381,19394,18968,0
X000141,0,0,0,0,0,0,0
X000142,1793,0,785,293,383,373,0
X000143,10133,10765,20537,19943,19862,18118,0
X000144,12075,9997,10018,10065,9943,15890,0
X000145,1166,15633,344,2437,6759,355,0
X000146,4960,5883,7367,9239,10719,10093,0
X000147,19214,20373,20758,17601,17957,9024,0
X000148,197249,176133,93040,135615,132303,59840,0
X000149,9133,10491,10182,9900,10050,12084,0
X000150,-1148,-1060,21302,0,1005,888,0
X000151,86717,78184,68367,64707,58290,55297,0
X000152,42367,55693,43382,41175,41859,31904,0
X000153,222,2809,1040,691,0,0,0
X000154,208766,182330,132334,101742,177130,169274,0
X000155,9021,10314,11437,12016,13106,14115,0
X000156,23896,27951,31995,43187,47157,48696,0
X000157,105391,102942,89712,91023,92421,93966,0
X000158,195949,196166,189517,167174,146888,122245,0
X000159,115845,122875,129931,137329,145516,154073,1
X000160,12792,12364,13425,13488,13748,13983,0
X000161,24313,27545,26781,28165,27630,28279,0
X000162,412,357,698,307,1163,497,0
X000163,1146,399,485,886,436,474,0
X000164,141237,156956,151848,152823,155940,160152,0
X000165,21135,23814,24850,25939,26709,27714,0
X000166,101702,104753,104893,74802,75991,77217,0
X000167,6122,15166,8208,15314,4823,13524,0
X000168,102350,96754,58746,29352,22943,-189,0
X000169,72051,73776,75584,77416,85790,88204,0
X000170,28112,29116,29347,27774,28259,28872,0
X000171,37607,33479,30517,27591,26324,24701,0
X000172,765,3207,0,4355,2637,891,0
X000173,8571,15330,11734,7507,3157,7794,0
X000174,-627,-727,-690,-2815,-3322,-3262,0
X000175,0,0,-23,0,0,0,0
X000176,64603,65915,67295,68474,72742,71398,0
X000177,6234,121,542,1381,1952,5291,0
X000178,48960,47710,48289,30284,22941,22338,0
X000179,15964,12530,13279,13125,13983,14987,0
X000180,77959,81903,80211,61549,10710,11521,0
X000181,12267,26610,25275,26547,26306,1271,0
X000182,49606,12419,14810,17316,17770,17544,0
X000183,56492,110651,110386,122975,108902,70102,0
X000184,58067,57961,48786,19013,19359,19338,0
X000185,10690,11622,13049,12199,1673,1705,0
X000186,14497,13922,15306,16306,15813,16548,0
X000187,2573,57150,5345,68526,13782,16304,0
X000188,199486,203045,193856,196231,200185,189861,1
X000189,0,5453,10356,13481,13880,14715,0
X000190,21716,21136,21540,20870,20225,20421,0
X000191,59931,62072,62115,65847,60347,43302,0
X000192,19709,20362,21679,22912,22431,22916,1
X000194,14674,22140,21368,10297,0,0,0
X000195,47769,18195,18301,-52,62,655,0
X000196,36157,37136,37692,38538,39298,40050,0
X000197,0,0,0,116,0,1465,0
X000198,18589,19474,19101,8262,18820,19314,0
X000199,312,131,2218,1232,1288,1173,0
X000200,29110,29164,28127,29919,1708,990.64,0
X000201,828,0,0,0,0,0,0
X000202,27204,27239,18060,20187,27361,10737,0
X000203,13395,17967,12973,5787,13478,581,0
X000204,107224,110484,113786,115917,119081,122081,0
X000205,226467,231905,234236,190181,173630,146424,0
X000206,256,20339,20230,19361,19383,19248,0
X000207,416,1491,378,436,330,0,0
X000208,3186,1645,343,3810,842,0,1
X000209,81718,81525,79560,49512,49529,49609,0
X000210,8945,4351,2801,1634,0,1654,0
X000211,105648,108881,111620,8278,0,85661,0
X000212,0,0,266,165,703,1133,1
X000213,38345,38961,38108,36128,33122,31347,0
X000214,28277,28149,18340,12933,7669,8051,0
X000215,296541,303309,307923,479924,305157,309998,0
X000216,321,357,327,163,1377,866,0
X000217,-846,-939,-1009,-850,-887,-881,1
X000218,79184,78559,78568,80049,76299,78229,0
X000219,89952,84135,79234,73360,63872,63120,0
X000220,1462,4452,106,0,0,0,0
X000221,105245,115433,112067,114702,117915,120196,0
X000222,335098,334858,335468,333778,335738,330043,0
X000223,291587,297186,205645,215895,208399,212556,0
X000224,91703,94084,108675,65927,43827,33213,0
X000225,52677,51637,49284,30448,30322,29940,1
X000226,130455,131268,128868,125414,127186,128782,0
X000227,3192,2727,1843,604,0,0,0
X000228,16473,16478,18884,18725,18556,19274,1
X000229,49673,48364,44132,21295,20113,18788,1
X000231,35082,35759,30899,19407,10425,1401,0
X000232,20214,17222,16919,16867,13359,10021,1
X000233,102731,0,0,2528,45540,46492,0
X000234,129731,131424,134285,142363,140164,16819.68,1
X000235,58160,36310,20911,20633,20139,19430,0
X000236,7906,3988,6810,1744,1317,20036,0
X000237,127436,110081,51598,44409,36965,29490,0
X000238,1536,0,7336,849,6010,2250,0
X000239,234188,231724,214710,207709,210378,12622.68,0
X000240,19304,21802,22993,19067,16386,16392,1
X000241,21448,20742,0,0,0,2202,0
X000242,47179,48021,48671,50841,30886,15847,0
X000243,26618,27754,28611,27916,28804,29371,0
X000244,3166,5945,2770,0,2895,0,0
X000245,206,172,41,-73,68,144,0
X000246,19787,20421,20140,19581,0,0,0
X000247,52969,1587,1586,1099,5498,729,0
X000248,37786,34434,30031,30342,31084,32925,0
X000249,46217,45762,48110,51120,39470,25364,0
X000250,35804,15480,16175,16507,16671,17454,0
X000251,50768,51449,48954,30060,29467,29971,0
X000252,29145,29567,29229,25296,22037,0,0
X000253,101626,105196,104845,105415,107681,106805,1
X000254,70299,47704,27988,7249,99596,84383,0
X000255,19485,3692,1474,4993,1835,2499,0
X000256,27652,28556,29305,29876,29474,28627,0
X000257,1198,1244,933,1386,1099,21337,0
X000258,7956,2408,9640,52593,7336,2259,0
X000259,62236,0,0,0,0,0,0
X000260,210345,213579,201863,169029,172155,162429,1
X000261,78253,99479,107668,103755,87198,36652,0
X000262,49232,35057,32595,27920,29171,28341,0
X000263,4431,4701,5981,19034,16506,12630,0
X000264,2303,50828,0,0,234,437,0
X000265,10157,206,5946,114,1568,16893,0
X000266,6176,0,0,270,291,230,0
X000267,6992,7762,9094,9262,9800,9453,0
X000268,88904,91279,72279,49567,28152,27483,0
X000269,34943,34413,33615,34624,34707,35733,0
X000270,13612,14823,14245,13906,14239,8116.23,0
X000271,69996,31510,20890,19779,19798,18185,0
X000272,982,655,1435,975,381,0,0
X000273,0,0,0,0,0,0,0
X000274,11272,12833,14081,14556,16349,11887,0
X000275,0,0,0,0,0,0,0
X000276,68605,69082,68280,30259,14374,15155,0
X000277,130,2789,12,2570,45,22484,1
X000278,1225,409,297,251,310,416,0
X000279,50802,50481,50645,20079,20165,19653,0
X000280,103206,102505,97139,99128,100969,101216,0
X000281,1520,2391,576,1780,0,0,0
X000282,127638,109103,92653,69617,44129,43468,0
X000283,163949,153236,147025,122115,103784,70282,0
X000284,53567,52656,52691,52259,55758,56208,0
X000285,195048,88756,92244,94747,98122,98500,0
X000286,110330,41945,21852,20012,16150,646,0
X000287,60409,62869,62841,62696,63619,46450,0
X000288,180682,181495,150042,113061,105348,97602,0
X000289,70957,71596,70064,69807,69659,51336,0
X000290,8719,9901,10594,10791,11676,4219,0
X000291,989,891,402,964,245,-339581,0
X000292,0,0,0,0,0,0,1
X000293,1635,2650,1896,2110,1919,2494,0
X000294,6942,10316,9646,9985,9877,10101,1
X000295,0,0,0,0,0,0,0
X000296,194319,197428,186374,133363,133682,134028,0
X000297,1671,728,2171,1369,0,1786,0
X000298,143135,142954,144442,148119,148005,131670,0
X000299,58952,60732,63187,29732,30171,30859,0
X000300,0,0,12926,12689,19618,208,0
X000301,99123,98278,67232,67009,66732,64607,0
X000302,0,0,0,0,0,0,0
X000303,49860,51247,12081,12971,13663,14536,0
X000304,12063,14619,27849,15724,15787,12439,1
X000305,785,753,873,4228,4107,7353,0
X000306,417,3206,5740,1213,1748,328,0
X000307,10436,24031,0,8429,4649,0,0
X000308,0,5309,0,0,0,0,0
X000309,9648,10624,11252,12912,13847,14424,0
X000310,20841,13709,14413,4807,174,11751,0
X000312,143383,146377,147134,127872,130325,132887,0
X000313,10853,13664,16564,10428,13000,14368,0
X000314,52414,50962,56300,54675,58651,60021,1
X000315,55686,52501,33396,28847,17498,6484,0
X000316,49525,33190,34313,17323,17899,19331,1
X000317,47915,49025,50330,50973,52162,53641,0
X000318,0,234,619,539,462,454,0
X000319,48620,51041,29572,29643,29837,24823,0
X000320,-93,-60,74,61,-9,24,0
X000321,58334,56688,51866,48564,47873,47967,1
X000322,172139,180124,166370,155646,145547,103244,0
X000323,1352,2344,3892,7553,8473,7996,0
X000324,26313,18878,1025,2096,803,6093,1
X000325,93033,94065,91929,95544,100205,100755,0
X000326,0,0,38098,40537,45013,37115,0
X000327,650,696,389,983,540,375,0
X000328,24988,28011,27159,30282,29589,30197,1
X000329,50417,44694,8237,2257,24670,7396,0
X000330,99769,102542,100135,104980,107083,109425,0
X000331,-183,415,134,6831,23174,16893,0
X000332,9607,12310,11799,9818,10250,12754,0
X000333,10530,10291,11144,11382,20998,31828,0
X000334,0,0,0,0,1650,78383,0
X000335,20580,19133,19680,19401,19193,18897,0
X000336,143487,146870,151941,153563,156692,160390,0
X000337,156977,160280,159996,158207,158818,159195,0
X000338,307,0,0,0,0,0,0
X000339,46573,47789,49671,30911,30133,29131,1
X000340,782,6517,6343,1112,1300,890,0
X000341,59,57,50,0,104,0,0
X000342,5982,6080,4166,671,920,968,0
X000343,2485,90,4781,20182,24870,24219,0
X000344,274639,281712,241996,122308,-1052,1092,0
X000345,145492,138307,130620,105815,108294,106480,0
X000347,1345,4221,4187,3451,2035,3910,0
X000348,47009,49266,50412,45479,39894,41093,1
X000349,138071,137954,140213,139773,141729,142074,0
X000350,17963,18917,20156,20136,20838,19890,1
X000351,39086,20426,1880,2027,0,23158,0
X000352,-14409,-13559,3343,-3722,0,1373,0
X000353,0,0,0,0,0,0,1
X000354,77075,78169,58496,50985,19080,19455,0
X000355,15889,18756,18148,18543,19072,18941,0
X000356,27701,28457,29705,30036,30327,31202,0
X000357,141364,128845,124167,113156,113924,103334,0
X000358,194356,179199,193968,174589,171324,169085,0
X000359,83743,77477,78974,80552,82349,84411,0
X000360,49707,300,51099,2309,34132,230,0
X000361,507655,509230,499915,505475,484522,43606.98,1
X000362,71325,71087,71975,72932,74350,74516,0
X000363,45777,44743,43478,44066,44925,25865,0
X000364,0,0,2113,2018,225,249,0
X000365,745,302,349,703,545,609,0
X000366,-64,1587,1531,0,3895,8713,0
X000367,47170,49364,50509,23404,23085,24850,0
X000368,2813,1831,2969,2829,1950,2206,0
X000369,0,0,0,0,0,0,0
X000370,20677,19940,19605,11022,10907,11081,1
X000371,83598,0,0,0,0,0,0
X000372,12,3072,15002,8643,12949,21692,0
X000373,34253,34997,43514,42439,49638,48799,0
X000374,22983,22385,22336,23182,24314,25986,0
X000375,173206,174633,175216,106296,28082,178799,0
X000376,19196,20183,21237,21410,21705,22354,0
X000377,20531,19953,20943,21539,25118,24300,0
X000378,10841,14546,7555,5063,3399,3749,0
X000379,69971,71911,43367,44495,47902,49890,0
X000380,20499,15052,15019,9649,11058,12473,1
X000381,89116,90724,70896,72446,73844,75407,0
X000382,1879,3202,3356,3629,1925,2476,0
X000383,100595,78337,91593,90793,88591,88448,0
X000384,2953,3853,5682,5558,5640,5863,0
X000385,22571,31364,27983,25236,0,0,0
X000386,338119,342876,344389,240832,235023,240088,0
X000387,0,79945,0,0,0,0,0
X000388,63152,65646,68957,70549,72771,75086,1
X000389,153290,154050,156465,159570,162928,157688,0
X000390,1092,371,488,352,0,216,1
X000391,0,0,0,0,0,0,0
X000392,-1259,35947,37341,37216,32555,33381,0
X000393,103778,91969,87659,76211,72079,71686,0
X000394,20134,17116,18794,19959,21293,21117,0
X000395,37977,25044,0,0,0,0,0
X000396,142448,144062,143923,142677,142745,142686,0
X000397,40762,42667,42400,43099,43028,29018,0
X000398,0,0,0,764,0,565,0
X000399,104773,106082,108492,91075,82688,74183,0
X000400,120268,120772,109896,116380,119366,117070,0
X000401,156404,132342,99174,65324,28703,184976,0
X000402,41352,29171,28097,28588,28852,29033,0
X000403,1411,2033,366,0,2428,736,1
X000404,27856,28805,27846,25160,25714,26116,0
X000405,160403,163967,159662,166948,170008,153891,0
X000406,3913,2606,3438,0,0,82184,0
X000407,26457,21470,0,0,0,0,0
X000408,507049,492003,430582,376740,356559,303419,0
X000409,55668,62814,59009,61487,59600,66455,0
X000410,168459,175721,180686,182723,168309,167944,0
X000411,29242,28553,30893,31699,32434,32994,1
X000412,95,0,0,334,-68,-87,0
X000413,0,0,2818,4587,829,3478,0
X000414,13745,12665,13108,10652,9131,5163,1
X000415,14822,26659,200051,8943,19445,22540,0
X000416,22402,4901,0,0,0,0,0
X000417,7159,14762,1167,0,0,86,0
X000418,14840,16208,17384,17833,19405,18947,0
X000419,44246,43143,35563,18713,19045,19585,0
X000420,0,0,0,0,0,0,1
X000421,25314,26331,27640,27860,29991,29471,0
X000422,169689,167137,158539,156978,157868,151976,0
X000423,10284,2749,1421,386,2884,0,0
X000424,104929,105925,102749,97134,98072,105246,1
X000425,192620,198054,201640,205802,196776,190247,0
X000426,11328,0,0,0,0,0,0
X000427,9593,12141,13081,12572,15394,16325,0
X000428,152,213,154,375,137,256,1
X000429,70117,68529,66690,29433,28877,29757,0
X000430,212591,177894,119414,117698,68824,66263,0
X000431,91937,71733,73233,74345,75987,77641,0
X000432,304835,300086,300445,292931,292835,281889,0
X000433,48080,49617,50429,50921,52044,53212,0
X000434,159749,162180,166167,169390,168823,168041,0
X000435,9133,8447,17249,1692,0,0,0
X000436,234810,233135,229371,217633,223730,93966.6,1
X000437,14168,0,0,234,189,94,0
X000438,61775,62464,62206,60548,60310,60049,1
X000439,51033,50231,46684,45027,21318,20859,0
X000440,76955,73276,57762,37555,46208,2772.48,1
X000441,276,327,445,1784,12663,12540,0
X000442,83868,85534,87262,91483,93447,89620,0
X000443,0,0,1030,0,111,3071,0
X000444,123009,124556,126280,114902,117257,124772,0
X000445,246138,231399,234510,200572,194404,198877,0
X000446,37298,33329,29249,24946,20324,15551,0
X000447,146437,107696,89846,90996,82247,83919,0
X000448,46183,1319,29414,5418,0,1567,0
X000449,38621,38271,32157,30363,30812,0,0
X000450,96270,97966,82302,65073,60921,58972,0
X000451,0,0,0,0,0,0,1
X000452,467195,458883,469619,447166,440942,101416.66,0
X000453,255701,262834,36670,122296,127468,131155,0
X000454,156835,241,1537,1392,1375,905,0
X000455,78185,28152,78642,49250,48941,48542,0
X000456,40019,36558,17466,15070,10700,5376,0
X000457,70956,69266,74216,72396,77261,75820,0
X000458,24042,24099,25362,25767,0,0,0
X000459,868,18139,5529,8067,7036,9103,0
X000460,50904,39875,32065,17647,9810,6466,0
X000461,152532,151570,159103,123087,126063,126123,0
X000462,1709,8651,5681,2981,1322,7780,0
X000463,20904,99900,100017,3003,23503,1476,0
X000464,30239,131214,110513,99326,97528,96122,0
X000465,0,0,1969,0,0,116,0
X000466,208403,206368,203714,201378,199027,191754,1
X000467,212770,211098,212755,218597,167822,165291,1
X000468,28163,28011,25019,22125,19934,19905,0
X000469,59391,49612,49511,42493,48189,51384,0
X000470,6256,3348,6139,271,2846,573,0
X000471,355262,363321,373220,252155,257452,262942,1
X000472,366180,372712,375855,196023,152052,155261,0
X000473,2876,2796,1181,2189,1099,1333,0
X000474,29363,30364,31077,32249,34122,34988,0
X000475,4131,2781,0,6476,0,5903,0
X000476,27260,28351,28904,29516,30377,23062,0
X000477,50838,28547,29283,28593,29060,29666,0
X000478,66669,68124,72990,71293,50671,50895,0
X000479,607,318,548,281,512,428,0
X000480,0,0,0,0,0,0,0
X000481,44900,137159,90778,0,969,938,0
X000482,131414,146101,140201,144034,140428,130321,1
X000483,41297,41800,37869,37926,6784,4134,0
X000484,77635,73401,71323,66985,63210,59446,0
X000485,2549,1750,590,485,2291,2614,0
X000486,177485,180533,172941,130129,115511,117416,0
X000487,6801,15012,13209,0,10405,6944,0
X000488,93853,91534,91562,91121,92837,95316,0
X000489,335,1673,743,477,416,0,1
X000490,16421,6098,4627,3798,4470,2548,0
X000491,608,0,0,0,0,0,0
X000492,28770,26632,24086,24407,20783,19648,0
X000493,98591,100928,222174,108805,68569,69215,0
X000494,28381,17555,343,0,0,0,0
X000495,8624,9400,10059,10094,10462,10497,0
X000496,506,712,145,384,260,236,0
X000497,203153,202875,194364,196751,200550,198722,0
X000498,16379,20464,18289,18903,30207,19752,0
X000499,-26,0,0,152,-82,1555,0
X000500,15962,17360,20621,20614,20277,19939,0
X000501,20365,21681,22611,24254,25174,24642,0
X000502,23145,22476,28058,27376,31245,30584,0
X000503,221672,227447,230211,186634,189862,193401,0
X000504,19179,20596,22678,22249,22285,0,0
X000505,0,0,0,0,0,0,0
X000506,301,355,449,0,700,1206,0
X000507,3891,0,285187,249413,222922,105,0
X000508,42271,38799,36640,35786,37912,34761,0
X000509,21574,13293,13914,10834,10588,5586,0
X000510,972,0,0,10419,0,0,0
X000511,1224,1292,1322,1495,951,441,0
X000512,187,289,209,295,299,199,1
X000513,20164,52890,4058,1786,2885,50534,0
X000514,29477,30691,31510,31909,32613,32992,1
X000515,18408,20309,19597,16558,15828,13199,0
X000516,94324,53364,85766,78798,79606,80401,0
X000517,68713,67613,69143,68472,69816,71380,0
X000518,13896,16650,21410,18617,19001,19369,0
X000519,10199,8587,10618,10026,10002,10005,0
X000520,93875,97735,103152,104804,110082,115324,0
X000521,16438,17590,18579,18673,19232,19798,0
X000522,-47,33083,36462,44376,62481,61395,0
X000523,1270,807,64627,125968,106560,125618,0
X000524,111514,112128,69622,70775,70703,66833,0
X000525,67327,69455,70975,71854,73544,74782,0
X000526,1663,13179,512,1810,0,2894,0
X000527,18704,18161,19122,19454,20831,20229,0
X000528,160892,156879,160383,163810,167069,170881,0
X000529,4,58,46,-77,1735,2533,0
X000530,18699,14412,13837,435,5401,0,0
X000531,34619,18481,19346,18156,19277,19574,0
X000532,97599,49116,17604,17765,18030,18391,0
X000533,4042,6421,6127,6813,6636,6872,0
X000534,53882,55017,61534,62509,61205,25706.1,0
X000535,2322,3136,2422,1876,1578,0,0
X000536,579,1683,3568,597,4846,6210,0
X000537,330739,337810,274012,252579,216533,179190,0
X000538,91997,88020,82141,59010,53498,46816,0
X000539,3244,4126,0,0,226,0,0
X000540,92729,90822,95741,97045,99023,101152,0
X000541,311,0,0,0,303,204,0
X000542,0,0,0,0,0,381,0
X000543,28742,27961,28379,27509,28125,28817,0
X000544,30161,30556,30237,29750,14814,29495,0
X000545,12356,10060,23817,9828,149,2223,0
X000546,50637,43224,44296,46405,47672,51919,0
X000547,-86,-64,-87,-110,23,-296,1
X000548,0,0,0,0,0,0,0
X000549,2469,7457,9789,12601,10708,20484,0
X000550,52483,50453,45118,35509,31735,31118,0
X000551,4646,6090,6458,6858,6080,7539,0
X000552,28204,0,16509,0,26881,481,0
X000553,50737,51030,28220,28811,30455,1827.3,1
X000554,0,6274,0,0,0,0,0
X000555,35385,36769,37290,38283,38637,37332,0
X000556,37819,68198,1135,2631,8585,0,0
X000557,5225,5355,1730,403,160,296,0
X000558,65343,74615,78460,79803,81606,83198,0
X000559,17293,18453,0,0,0,0,0
X000560,57138,58521,59632,60402,61533,65089,0
X000561,5747,12044,15703,6572,2532,14977,0
X000562,623,2052,44,1030,909,-15,0
X000563,656,2799,1815,321,335,3689,0
X000564,108417,111282,63084,63751,65169,66175,0
X000565,777,165,-1660,4223,3326,2769,0
X000566,7341,8372,1804,6717,2434,11084,0
X000567,13117,14554,15411,18297,22748,23344,1
X000568,7063,427,3455,10446,10176,6161,0
X000569,35353,30665,30338,20335,19234,19552,0
X000570,18689,5635,0,0,0,0,0
X000571,55874,8291,4988,5105,19407,0,0
X000572,49722,50290,38353,18761,18215,19080,0
X000573,10972,10566,71,-114,61,4597,0
X000574,3121,5105,1182,413,3254,1033,1
X000575,3286,4565,2337,1537,6857,7544,0
X000576,279550,282081,282464,284579,255935,43508.95,0
X000577,479,517,5758,37503,50484,48893,0
X000578,5896,32272,8308,4139,617,4032,0
X000579,5118,6082,6581,7205,7032,7002,0
X000580,7850,2613,8692,3386,2021,0,0
X000581,0,816,0,0,0,0,1
X000582,35738,29166,27543,29257,35646,38411,0
X000583,1505,3749,30248,1010,21639,9626,0
X000584,77857,77861,78543,60515,61552,54012,0
X000585,50345,50869,49181,49009,45838,0,0
X000586,14569,15732,16469,16803,18112,17562,0
X000587,0,0,0,0,0,0,1
X000588,8744,23577,21747,9549,1601,2061,0
X000589,131631,130938,132909,45629,46613,47418,0
X000590,5782,23139,62376,67019,17116,18686,0
X000591,30305,25978,24059,65853,56438,51447,0
X000592,83198,83816,85241,85790,86809,87614,0
X000593,34924,5957,13906,7116,5986,9052,0
X000594,48752,46023,44912,41389,42402,38028,0
X000595,56750,57928,58997,59742,61074,62309,0
X000596,144742,140797,136363,135291,134543,134341,0
X000597,268193,263405,259963,255886,245425,250237,0
X000598,0,0,0,0,0,0,0
X000599,79320,75234,58742,58952,60048,57189,0
X000600,-440,5283,4691,2227,2708,162.48,1
X000601,23361,24222,25086,25046,25344,25425,0
X000602,372,349,335,451,436,257.24,1
X000603,17931,17870,18740,17637,18058,12901,0
X000604,26418,28893,28231,28766,30476,29906,0
X000605,0,0,0,0,0,0,0
X000606,22839,22018,24140,23485,25085,24646,0
X000607,9297,10286,7355,7499,0,0,0
X000608,40833,35507,39634,44050,42454,33187,0
X000609,4009,9143,8580,0,6315,3013,0
X000610,347,330,356,610,460,451,0
X000611,44101,25647,19349,18808,13515,33088,0
X000612,3239,0,0,0,0,2670,0
X000613,48277,48738,46292,46762,43631,44569,0
X000614,36745,29577,26289,26751,27275,29632,0
X000615,114965,117760,119553,116382,123528,125491,0
